Rank,Airport,Location,Country,Total_passengers,Rank_change,Percent_change,IATA,ICAO,Year
15,Adolfo Suárez Madrid–Barajas Airport,Madrid,Spain,60181604,,18.9,MAD,LEMD,2023
16,Frankfurt Airport,"Frankfurt, Hesse",Germany,59355389,2.0,21.3,FRA,EDDF,2023
17,Singapore Changi Airport,"Changi, East Region",Singapore,58946000,19.0,83.1,SIN,WSSS,2023
18,Orlando International Airport,"Orlando, Florida",United States,57735726,1.0,15.1,MCO,KMCO,2023
19,Harry Reid International Airport,"Las Vegas, Nevada",United States,57666456,7.0,9.4,LAS,KLAS,2023
20,Seoul Incheon International Airport,Incheon,South Korea,56235412,,213.8,ICN,RKSI,2023
21,Shanghai Pudong International Airport,"Pudong, Shanghai",China,54476397,,284.2,PVG,ZSPD,2023
22,Charlotte Douglas International Airport,"Charlotte, North Carolina",United States,53445770,3.0,11.9,CLT,KCLT,2023
23,Beijing Capital International Airport,"Chaoyang-Shunyi, Beijing",China,52879156,,316.2,PEK,ZBAA,2023
24,Shenzhen Bao'an International Airport,"Bao'an, Shenzhen, Guangdong",China,52734934,,144.6,SZX,ZGSZ,2023
25,Miami International Airport,"Miami-Dade County, Florida",United States,52340934,11.0,3.3,MIA,KMIA,2023
26,Suvarnabhumi Airport,"Racha Thewa, Bangkok metro",Thailand,51699104,24.0,79.8,BKK,VTBS,2023
27,Chhatrapati Shivaji Maharaj International Airport,"Santacruz-Sahar, Mumbai, Maharashtra",India,51589040,1.0,34.6,BOM,VABB,2023
28,Seattle–Tacoma International Airport,"SeaTac, Washington",United States,50877260,7.0,10.7,SEA,KSEA,2023
29,San Francisco International Airport,"San Mateo County, California",United States,50196094,5.0,18.7,SFO,KSFO,2023
30,Josep Tarradellas Barcelona–El Prat Airport,Barcelona,Spain,49883928,5.0,19.9,BCN,LEBL,2023
31,Newark Liberty International Airport,"Newark, New Jersey",United States,49084774,8.0,12.7,EWR,KEWR,2023
32,Soekarno–Hatta International Airport,"Tangerang, Banten",Indonesia,49080532,5.0,23.9,CGK,WIII,2023
33,Phoenix Sky Harbor International Airport,"Phoenix, Arizona",United States,48654432,11.0,9.6,PHX,KPHX,2023
34,Mexico City International Airport,"Venustiano Carranza, Mexico City",Mexico,48416008,14.0,4.7,MEX,MMMX,2023
35,Kuala Lumpur International Airport,"Sepang, Selangor",Malaysia,47242468,,86.0,KUL,WMKK,2023
36,George Bush Intercontinental Airport,"Houston, Texas",United States,46168662,10.0,12.7,IAH,KIAH,2023
37,Hamad International Airport,Doha,Qatar,45916098,6.0,28.5,DOH,OTHH,2023
38,Ninoy Aquino International Airport,"Pasay/Parañaque, Metro Manila",Philippines,45300322,6.0,46.7,MNL,RPLL,2023
39,Chengdu Tianfu International Airport,"Jianyang, Chengdu, Sichuan",China,44786032,,237.4,TFU,ZUTF,2023
40,Toronto Pearson International Airport,"Mississauga, Ontario",Canada,44761805,11.0,23.1,YYZ,CYYZ,2023
41,Chongqing Jiangbei International Airport,Chongqing,China,44657268,,106.1,CKG,ZUCK,2023
42,King Abdulaziz International Airport,Jeddah,Saudi Arabia,42910407,4.0,35.7,JED,OEJN,2023
43,Shanghai Hongqiao International Airport,Shanghai,China,42492745,,188.8,SHA,ZSSS,2023
44,Kunming Changshui International Airport,"Kunming, Yunnan",China,42053214,,97.4,KMG,ZPPP,2023
45,Xi'an Xianyang International Airport,"Xi'an, Shaanxi",China,41371228,,205.1,XIY,ZLXY,2023
46,São Paulo/Guarulhos International Airport,São Paulo,Brazil,41307919,,19.8,GRU,SBGR,2023
47,Hangzhou Xiaoshan International Airport,"Hangzhou, Zhejiang",China,41170470,,105.5,HGH,ZSHC,2023
48,Gatwick Airport,"Crawley, West Sussex",United Kingdom,40905856,13.0,24.5,LGW,EGKK,2023
49,Logan International Airport,"Boston, Massachusetts",United States,40861658,19.0,13.2,BOS,KBOS,2023
50,Tan Son Nhat International Airport,"Tan Binh, Ho Chi Minh City",Vietnam,40738295,16.0,18.9,SGN,VVTS,2023
